id;externalid;idewalletcliente;idusercreate;xapikey;authorization;merchantid;accesstoken;response;idautorization;timecreate;timeresponse
1;Bricolaje application;Nacional Juguetería Montenegro;deposit calculating multi-byte;Verde Productor;Intercambiable Gerente Datos;Queso;Toallas;Urbanización Joyería;FTP;Jefe Gorro;Cuentas morph wireless
2;B2B hibrida;Baleares Ergonómico granular;frictionless SCSI Escalinata;Partida;Ergonómico Caserio;cohesiva Camerún;Suecia hacking Cine;Adelante;RSS Teclado;Valenciana Account EXE;HDD Rústico Account
3;Acero Sector Fantástico;calculating;Pequeño Won e-markets;Ladrillo Barranco;optical Hogar;calculating Directo Yuan;holística;de circuit Bermuda;Toallas Granito;Pescado;Metal Humano Normas
4;Papelería;Camiseta;24/7;Identidad;Regional;Violeta Sudanese;Account;Algodón Madera PCI;Aragón European;Ordenador;Gerente Bedfordshire
5;override Personal Poland;Moldavia;Mascotas HDD Pantalones;transparent;Metal Atún;Gorro mano;Algodón fidelidad;Cuentas Comunidad;Azul Sabroso;world-class;metrics terciaria
6;Hecho one-to-one;Mongolia Joyería;applications target Valenciana;optical;Finlandia Ensalada Agente;IB;Teclado Blanco Música;Inverso Azul;regional Loan recontextualize;hardware función;Kroon Negro
7;Kenyan back-end Paseo;bus Borders Rwanda;Decoración;flexibilidad;Cliente;Verde;revolutionary firewall;calculate Moda;multi-byte;producto web-readiness;Identidad HDD
8;Account Directo Práctico;global HTTP;Inversor División;FTP Directo superestructura;recíproca;infomediaries Pequeño Avon;bleeding-edge;connect;Bedfordshire;Avon Realineado reboot;Rojo grow
9;JSON Directo;Timor-Leste Account transmitter;recontextualize Hormigon;Ronda Bedfordshire incentivize;Asturias;quantify Entrada;Checking Falkland;el transform Mancha;Moda;mission-critical;Mercados Directo SSL
10;Asturias SQL metódica;conjunto Funcionalidad desafío;Diseñador;synergies Hogar Guapo;Ordenador payment Madera;Murcia;Ladrillo Automatizado virtual;Granito Explanada indexing;communities Account Hormigon;transmitter Morado;analista
